"No.","Time","Source","Destination","Protocol","Length","Info"
"126","61","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=4881 Ack=1 Win=65536 Len=80 TSval=117293954 TSecr=117292954 [TCP segment of a reassembled PDU]"
"127","61","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=4961 Win=65408 Len=0 TSval=117293954 TSecr=117293954"
"128","62","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=4961 Ack=1 Win=65536 Len=80 TSval=117294954 TSecr=117293954 [TCP segment of a reassembled PDU]"
"129","62","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=5041 Win=65408 Len=0 TSval=117294954 TSecr=117294954"
"130","63","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=5041 Ack=1 Win=65536 Len=80 TSval=117295955 TSecr=117294954 [TCP segment of a reassembled PDU]"
"131","63","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=5121 Win=65408 Len=0 TSval=117295955 TSecr=117295955"
"132","64","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=5121 Ack=1 Win=65536 Len=80 TSval=117296955 TSecr=117295955 [TCP segment of a reassembled PDU]"
"133","64","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=5201 Win=65408 Len=0 TSval=117296955 TSecr=117296955"
"134","65","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=5201 Ack=1 Win=65536 Len=80 TSval=117297956 TSecr=117296955 [TCP segment of a reassembled PDU]"
"135","65","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=5281 Win=65408 Len=0 TSval=117297956 TSecr=117297956"
"136","66","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=5281 Ack=1 Win=65536 Len=80 TSval=117298957 TSecr=117297956 [TCP segment of a reassembled PDU]"
"137","66","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=5361 Win=65408 Len=0 TSval=117298957 TSecr=117298957"
"138","67","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=5361 Ack=1 Win=65536 Len=80 TSval=117299957 TSecr=117298957 [TCP segment of a reassembled PDU]"
"139","67","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=5441 Win=65408 Len=0 TSval=117299958 TSecr=117299957"
"140","68","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=5441 Ack=1 Win=65536 Len=80 TSval=117300960 TSecr=117299958 [TCP segment of a reassembled PDU]"
"141","68","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=5521 Win=65408 Len=0 TSval=117300960 TSecr=117300960"
"142","69","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=5521 Ack=1 Win=65536 Len=80 TSval=117301970 TSecr=117300960 [TCP segment of a reassembled PDU]"
"143","69","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=5601 Win=65408 Len=0 TSval=117301970 TSecr=117301970"
"144","70","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=5601 Ack=1 Win=65536 Len=80 TSval=117302970 TSecr=117301970 [TCP segment of a reassembled PDU]"
"145","70","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=5681 Win=65408 Len=0 TSval=117302970 TSecr=117302970"
"146","71","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=5681 Ack=1 Win=65536 Len=80 TSval=117303970 TSecr=117302970 [TCP segment of a reassembled PDU]"
"147","71","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=5761 Win=65408 Len=0 TSval=117303971 TSecr=117303970"
"148","72","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=5761 Ack=1 Win=65536 Len=80 TSval=117304971 TSecr=117303971 [TCP segment of a reassembled PDU]"
"149","72","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=5841 Win=65408 Len=0 TSval=117304971 TSecr=117304971"
"150","73","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=5841 Ack=1 Win=65536 Len=80 TSval=117305972 TSecr=117304971 [TCP segment of a reassembled PDU]"
"151","73","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=5921 Win=65408 Len=0 TSval=117305972 TSecr=117305972"
"152","74","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=5921 Ack=1 Win=65536 Len=80 TSval=117306978 TSecr=117305972 [TCP segment of a reassembled PDU]"
"153","74","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=6001 Win=65408 Len=0 TSval=117306978 TSecr=117306978"
"154","75","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=6001 Ack=1 Win=65536 Len=80 TSval=117307978 TSecr=117306978 [TCP segment of a reassembled PDU]"
"155","75","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=6081 Win=65408 Len=0 TSval=117307978 TSecr=117307978"
"156","76","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=6081 Ack=1 Win=65536 Len=80 TSval=117308980 TSecr=117307978 [TCP segment of a reassembled PDU]"
"157","76","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=6161 Win=65408 Len=0 TSval=117308980 TSecr=117308980"
"158","77","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=6161 Ack=1 Win=65536 Len=80 TSval=117309980 TSecr=117308980 [TCP segment of a reassembled PDU]"
"159","77","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=6241 Win=65408 Len=0 TSval=117309980 TSecr=117309980"
"160","78","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=6241 Ack=1 Win=65536 Len=80 TSval=117310981 TSecr=117309980 [TCP segment of a reassembled PDU]"
"161","78","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=6321 Win=65408 Len=0 TSval=117310981 TSecr=117310981"
"162","79","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=6321 Ack=1 Win=65536 Len=80 TSval=117311982 TSecr=117310981 [TCP segment of a reassembled PDU]"
"163","79","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=6401 Win=65408 Len=0 TSval=117311982 TSecr=117311982"
"164","80","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=6401 Ack=1 Win=65536 Len=80 TSval=117312983 TSecr=117311982 [TCP segment of a reassembled PDU]"
"165","80","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=6481 Win=65408 Len=0 TSval=117312983 TSecr=117312983"
"166","81","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=6481 Ack=1 Win=65536 Len=80 TSval=117313983 TSecr=117312983 [TCP segment of a reassembled PDU]"
"167","81","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=6561 Win=65408 Len=0 TSval=117313983 TSecr=117313983"
"168","82","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=6561 Ack=1 Win=65536 Len=80 TSval=117314984 TSecr=117313983 [TCP segment of a reassembled PDU]"
"169","82","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=6641 Win=65408 Len=0 TSval=117314984 TSecr=117314984"
"170","83","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=6641 Ack=1 Win=65536 Len=80 TSval=117315985 TSecr=117314984 [TCP segment of a reassembled PDU]"
"171","83","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=6721 Win=65408 Len=0 TSval=117315985 TSecr=117315985"
"172","84","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=6721 Ack=1 Win=65536 Len=80 TSval=117316988 TSecr=117315985 [TCP segment of a reassembled PDU]"
"173","84","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=6801 Win=65408 Len=0 TSval=117316988 TSecr=117316988"
"174","85","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=6801 Ack=1 Win=65536 Len=80 TSval=117317988 TSecr=117316988 [TCP segment of a reassembled PDU]"
"175","85","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=6881 Win=65408 Len=0 TSval=117317988 TSecr=117317988"
"176","86","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=6881 Ack=1 Win=65536 Len=80 TSval=117318989 TSecr=117317988 [TCP segment of a reassembled PDU]"
"177","86","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=6961 Win=65408 Len=0 TSval=117318989 TSecr=117318989"
"178","87","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=6961 Ack=1 Win=65536 Len=80 TSval=117320002 TSecr=117318989 [TCP segment of a reassembled PDU]"
"179","87","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=7041 Win=65408 Len=0 TSval=117320002 TSecr=117320002"
"180","88","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=7041 Ack=1 Win=65536 Len=80 TSval=117321004 TSecr=117320002 [TCP segment of a reassembled PDU]"
"181","88","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=7121 Win=65408 Len=0 TSval=117321004 TSecr=117321004"
"182","89","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=7121 Ack=1 Win=65536 Len=80 TSval=117322004 TSecr=117321004 [TCP segment of a reassembled PDU]"
"183","89","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=7201 Win=65408 Len=0 TSval=117322004 TSecr=117322004"
"184","90","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=7201 Ack=1 Win=65536 Len=80 TSval=117323006 TSecr=117322004 [TCP segment of a reassembled PDU]"
"185","90","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=7281 Win=65408 Len=0 TSval=117323006 TSecr=117323006"
"186","91","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=7281 Ack=1 Win=65536 Len=80 TSval=117324006 TSecr=117323006 [TCP segment of a reassembled PDU]"
"187","91","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=7361 Win=65408 Len=0 TSval=117324006 TSecr=117324006"
"188","92","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=7361 Ack=1 Win=65536 Len=80 TSval=117325007 TSecr=117324006 [TCP segment of a reassembled PDU]"
"189","92","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=7441 Win=65408 Len=0 TSval=117325007 TSecr=117325007"
"190","93","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=7441 Ack=1 Win=65536 Len=80 TSval=117326008 TSecr=117325007 [TCP segment of a reassembled PDU]"
"191","93","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=7521 Win=65408 Len=0 TSval=117326008 TSecr=117326008"
"192","94","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=7521 Ack=1 Win=65536 Len=80 TSval=117327008 TSecr=117326008 [TCP segment of a reassembled PDU]"
"193","94","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=7601 Win=65408 Len=0 TSval=117327008 TSecr=117327008"
"194","95","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=7601 Ack=1 Win=65536 Len=80 TSval=117328009 TSecr=117327008 [TCP segment of a reassembled PDU]"
"195","95","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=7681 Win=65408 Len=0 TSval=117328009 TSecr=117328009"
"196","96","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=7681 Ack=1 Win=65536 Len=80 TSval=117329010 TSecr=117328009 [TCP segment of a reassembled PDU]"
"197","96","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=7761 Win=65408 Len=0 TSval=117329010 TSecr=117329010"
"198","97","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=7761 Ack=1 Win=65536 Len=80 TSval=117330011 TSecr=117329010 [TCP segment of a reassembled PDU]"
"199","97","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=7841 Win=65408 Len=0 TSval=117330011 TSecr=117330011"
"200","98","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=7841 Ack=1 Win=65536 Len=80 TSval=117331012 TSecr=117330011 [TCP segment of a reassembled PDU]"
"201","98","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=7921 Win=65408 Len=0 TSval=117331012 TSecr=117331012"
"202","99","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=7921 Ack=1 Win=65536 Len=80 TSval=117332012 TSecr=117331012 [TCP segment of a reassembled PDU]"
"203","99","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=8001 Win=65408 Len=0 TSval=117332012 TSecr=117332012"
"204","100","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=8001 Ack=1 Win=65536 Len=80 TSval=117333013 TSecr=117332012 [TCP segment of a reassembled PDU]"
"205","100","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=8081 Win=65408 Len=0 TSval=117333013 TSecr=117333013"
"206","101","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=8081 Ack=1 Win=65536 Len=80 TSval=117334013 TSecr=117333013 [TCP segment of a reassembled PDU]"
"207","101","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=8161 Win=65408 Len=0 TSval=117334013 TSecr=117334013"
"208","102","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=8161 Ack=1 Win=65536 Len=80 TSval=117335014 TSecr=117334013 [TCP segment of a reassembled PDU]"
"209","102","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=8241 Win=65408 Len=0 TSval=117335014 TSecr=117335014"
"210","103","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=8241 Ack=1 Win=65536 Len=80 TSval=117336015 TSecr=117335014 [TCP segment of a reassembled PDU]"
"211","103","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=8321 Win=65408 Len=0 TSval=117336015 TSecr=117336015"
"212","104","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=8321 Ack=1 Win=65536 Len=80 TSval=117337015 TSecr=117336015 [TCP segment of a reassembled PDU]"
"213","104","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=8401 Win=65408 Len=0 TSval=117337015 TSecr=117337015"
"214","105","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=8401 Ack=1 Win=65536 Len=80 TSval=117338016 TSecr=117337015 [TCP segment of a reassembled PDU]"
"215","105","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=8481 Win=65408 Len=0 TSval=117338016 TSecr=117338016"
"216","106","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=8481 Ack=1 Win=65536 Len=80 TSval=117339016 TSecr=117338016 [TCP segment of a reassembled PDU]"
"217","106","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=8561 Win=65408 Len=0 TSval=117339016 TSecr=117339016"
"218","107","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=8561 Ack=1 Win=65536 Len=80 TSval=117340017 TSecr=117339016 [TCP segment of a reassembled PDU]"
"219","107","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=8641 Win=65408 Len=0 TSval=117340017 TSecr=117340017"
"220","108","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=8641 Ack=1 Win=65536 Len=80 TSval=117341020 TSecr=117340017 [TCP segment of a reassembled PDU]"
"221","108","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=8721 Win=65408 Len=0 TSval=117341020 TSecr=117341020"
"222","109","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=8721 Ack=1 Win=65536 Len=80 TSval=117342028 TSecr=117341020 [TCP segment of a reassembled PDU]"
"223","109","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=8801 Win=65408 Len=0 TSval=117342028 TSecr=117342028"
"224","110","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=8801 Ack=1 Win=65536 Len=80 TSval=117343029 TSecr=117342028 [TCP segment of a reassembled PDU]"
"225","110","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=8881 Win=65408 Len=0 TSval=117343029 TSecr=117343029"
"226","111","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=8881 Ack=1 Win=65536 Len=80 TSval=117344035 TSecr=117343029 [TCP segment of a reassembled PDU]"
"227","111","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=8961 Win=65408 Len=0 TSval=117344035 TSecr=117344035"
"228","112","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=8961 Ack=1 Win=65536 Len=80 TSval=117345036 TSecr=117344035 [TCP segment of a reassembled PDU]"
"229","112","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=9041 Win=65408 Len=0 TSval=117345036 TSecr=117345036"
"230","113","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=9041 Ack=1 Win=65536 Len=80 TSval=117346036 TSecr=117345036 [TCP segment of a reassembled PDU]"
"231","113","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=9121 Win=65408 Len=0 TSval=117346036 TSecr=117346036"
"232","114","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=9121 Ack=1 Win=65536 Len=80 TSval=117347042 TSecr=117346036 [TCP segment of a reassembled PDU]"
"233","114","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=9201 Win=65408 Len=0 TSval=117347042 TSecr=117347042"
"234","115","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=9201 Ack=1 Win=65536 Len=80 TSval=117348044 TSecr=117347042 [TCP segment of a reassembled PDU]"
"235","115","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=9281 Win=65408 Len=0 TSval=117348044 TSecr=117348044"
"236","116","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=9281 Ack=1 Win=65536 Len=80 TSval=117349045 TSecr=117348044 [TCP segment of a reassembled PDU]"
"237","116","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=9361 Win=65408 Len=0 TSval=117349045 TSecr=117349045"
"238","117","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=9361 Ack=1 Win=65536 Len=80 TSval=117350046 TSecr=117349045 [TCP segment of a reassembled PDU]"
"239","117","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=9441 Win=65408 Len=0 TSval=117350046 TSecr=117350046"
"240","118","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=9441 Ack=1 Win=65536 Len=80 TSval=117351046 TSecr=117350046 [TCP segment of a reassembled PDU]"
"241","118","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=9521 Win=65408 Len=0 TSval=117351046 TSecr=117351046"
"242","119","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=9521 Ack=1 Win=65536 Len=80 TSval=117352047 TSecr=117351046 [TCP segment of a reassembled PDU]"
"243","119","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=9601 Win=65408 Len=0 TSval=117352047 TSecr=117352047"
"244","120","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=9601 Ack=1 Win=65536 Len=80 TSval=117353047 TSecr=117352047 [TCP segment of a reassembled PDU]"
"245","120","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=9681 Win=65408 Len=0 TSval=117353047 TSecr=117353047"
"246","121","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=9681 Ack=1 Win=65536 Len=80 TSval=117354048 TSecr=117353047 [TCP segment of a reassembled PDU]"
"247","121","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=9761 Win=65408 Len=0 TSval=117354048 TSecr=117354048"
"248","121","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [FIN, ACK] Seq=1 Ack=9761 Win=65536 Len=0 TSval=117354301 TSecr=117354048"
"249","121","127.0.0.1","127.0.0.1","TCP","66","43212  >  8080 [ACK] Seq=9761 Ack=2 Win=65536 Len=0 TSval=117354303 TSecr=117354301"
"250","122","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=9761 Ack=2 Win=65536 Len=80 TSval=117355048 TSecr=117354301 [TCP segment of a reassembled PDU]"
"251","122","127.0.0.1","127.0.0.1","TCP","54","8080  >  43212 [RST] Seq=2 Win=0 Len=0"
